S.N.,Contract No,Stock Symbol,Buyer Broker,Seller Broker,Quantity,Rate,Amount
1,2021042903016487,NRIC,52,52,50,1441,72050.00
2,2021042903016486,GBLBS,51,21,70,1184,82880.00
3,2021042903016485,GBLBS,51,4,80,1184,94720.00
4,2021042904016999,UPPER,5,38,10,863,8630.00
5,2021042903016484,NIFRA,53,59,31,542,16802.00
6,2021042903016483,NIFRA,53,49,100,542,54200.00
7,2021042903016482,NIFRA,53,6,200,542,108400.00
8,2021042904016998,UPPER,44,38,420,863,362460.00
9,2021042903016481,NIFRA,53,41,50,542,27100.00
10,2021042903016453,DDBL,42,57,50,1754,87700.00
11,2021042901014168,MEGA,58,57,62,303,18786.00
12,2021042903016452,JSLBB,45,57,15,4885,73275.00
13,2021042905003015,NICLBSL,32,49,10,1726,17260.00
14,2021042904016993,JOSHI,49,50,50,136,6800.00
15,2021042904016972,NLG,1,45,50,1116,55800.00
16,2021042904016971,NLG,17,45,40,1116,44640.00
17,2021042904016992,AHPC,57,49,1200,288,345600.00
18,2021042904016970,AHPC,57,45,80,288,23040.00
19,2021042901014167,NCCB,7,44,887,352,312224.00
20,2021042901014166,NCCB,58,44,35,352,12320.00
